Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.000000	0.300000	0	5	one	t	0.38626262	0.27025847	0.71256726	0.47382791
0.000000	0.300000	0	3	75	t	0.36955045	0.25522276	0.73067155	0.44683389
0.000000	0.300000	0	2	one	t	0.37611532	0.23237048	0.76135716	0.42281126
0.000000	0.300000	0	4	all	t	0.38023924	0.26902311	0.71967012	0.46586790
0.000000	0.300000	0	5	75	t	0.38332026	0.27064556	0.70998633	0.47520989
0.000000	0.300000	0	3	all	n	0.28518417	0.25937669	0.61285686	0.44778287
0.000000	0.300000	0	2	all	t	0.37274138	0.23530385	0.75839481	0.42356318
0.000000	0.300000	0	5	all	t	0.37531291	0.27546806	0.70709718	0.47645704
0.000000	0.300000	0	5	50	n	0.29236685	0.27504433	0.58817748	0.47635333
0.000000	0.300000	0	4	75	t	0.38953996	0.26432003	0.72233283	0.46471668
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.700000	0.300000	0	1	1	n	0.30481974	0.12573099	0.72521508	0.36478876
0.700000	0.300000	0	4	all	n	0.28738244	0.19429084	0.61522035	0.43550578
0.700000	0.300000	0	5	all	n	0.28232031	0.20152017	0.59957709	0.44699724
0.700000	0.300000	0	3	one	t	0.35961067	0.18307679	0.74664283	0.41591172
0.700000	0.300000	0	3	50	t	0.35713135	0.18686354	0.74246211	0.41743112
0.700000	0.300000	0	3	75	n	0.27754812	0.18360111	0.62960961	0.41682958
0.700000	0.300000	0	2	all	n	0.28613427	0.17101701	0.66063154	0.39962352
0.700000	0.300000	0	5	75	n	0.28860630	0.19732657	0.60158690	0.44605604
0.700000	0.300000	0	4	one	t	0.37953616	0.18967352	0.73816803	0.43319557
0.700000	0.300000	0	2	75	t	0.36584551	0.16740212	0.76945076	0.39902198
0.700000	0.300000	0	3	one	n	0.23752989	0.18666959	0.56504286	0.39415782
0.700000	0.300000	0	4	75	n	0.29509267	0.19022577	0.61707046	0.43466830
0.700000	0.300000	0	4	50	t	0.36952120	0.19403834	0.73270890	0.43547467
0.700000	0.300000	0	4	50	n	0.28784080	0.19403834	0.61531163	0.43547467
0.700000	0.300000	0	2	50	t	0.36486540	0.17078785	0.76781853	0.39959500
0.700000	0.300000	0	4	one	n	0.23620426	0.19528947	0.52825635	0.39893642
0.700000	0.300000	0	2	one	n	0.25660211	0.17271857	0.62918462	0.38736459
0.700000	0.300000	0	5	50	t	0.36398100	0.20125280	0.71786233	0.44695575
0.700000	0.300000	0	3	50	n	0.27709878	0.18686354	0.62826682	0.41743112
0.700000	0.300000	0	3	all	t	0.35663802	0.18711604	0.74231548	0.41746224
0.700000	0.300000	0	5	one	n	0.23671232	0.20948651	0.49454266	0.40225525
0.700000	0.300000	0	1	1	t	0.38116496	0.12573099	0.82436938	0.36478876
0.700000	0.300000	0	2	50	n	0.28662286	0.17078785	0.66075149	0.39959500
0.700000	0.300000	0	2	75	n	0.28719676	0.16740212	0.66210902	0.39902198
0.700000	0.300000	0	5	one	t	0.37393000	0.19688884	0.72306674	0.44473110
0.700000	0.300000	0	3	75	t	0.35799923	0.18360111	0.74416172	0.41682958
0.700000	0.300000	0	2	one	t	0.36730594	0.16804192	0.77040004	0.39896494
0.700000	0.300000	0	4	all	t	0.36903084	0.19429084	0.73257269	0.43550578
0.700000	0.300000	0	5	75	t	0.37105841	0.19732657	0.72033799	0.44605604
0.700000	0.300000	0	3	all	n	0.27663820	0.18711604	0.62816656	0.41746224
0.700000	0.300000	0	2	all	t	0.36434773	0.17101701	0.76765151	0.39962352
0.700000	0.300000	0	5	all	t	0.36352856	0.20152017	0.71772572	0.44699724
0.700000	0.300000	0	5	50	n	0.28270504	0.20125280	0.59966743	0.44695575
0.700000	0.300000	0	4	75	t	0.37782262	0.19022577	0.73492059	0.43466830
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.800000	0.300000	0	1	1	n	0.31890653	0.09038233	0.74194364	0.28158723
0.800000	0.300000	0	4	all	n	0.30533953	0.15051774	0.63207718	0.35195941
0.800000	0.300000	0	5	all	n	0.29824309	0.15552011	0.61734462	0.36316565
0.800000	0.300000	0	3	one	t	0.37058290	0.13907516	0.76347718	0.33169898
0.800000	0.300000	0	3	50	t	0.36812270	0.14405167	0.75789312	0.33342322
0.800000	0.300000	0	3	75	n	0.29086879	0.14061487	0.65005951	0.33279316
0.800000	0.300000	0	2	all	n	0.29468302	0.13105822	0.68172596	0.31625086
0.800000	0.300000	0	5	75	n	0.30164175	0.15166871	0.61941043	0.36235409
0.800000	0.300000	0	4	one	t	0.39275185	0.14500876	0.75489998	0.34952473
0.800000	0.300000	0	2	75	t	0.37467125	0.12753321	0.78597252	0.31566229
0.800000	0.300000	0	3	one	n	0.26829201	0.12715755	0.58545979	0.31136337
0.800000	0.300000	0	4	75	n	0.30801559	0.14669727	0.63423131	0.35117896
